iter	Passed	Remaining
410	4705	1018
411	4715	1007
412	4726	995
413	4738	984
414	4746	972
415	4757	960
416	4767	949
417	4777	937
418	4790	926
419	4800	914
420	4813	903
421	4822	891
422	4834	880
423	4843	868
424	4854	856
425	4863	844
426	4873	833
427	4885	821
428	4896	810
429	4907	798
430	4918	787
431	4929	775
432	4950	766
433	4961	754
434	4972	743
435	4984	731
436	4996	720
437	5007	708
438	5018	697
439	5030	685
440	5041	674
441	5056	663
442	5067	651
443	5080	640
444	5091	629
445	5101	617
446	5113	606
447	5123	594
448	5132	583
449	5145	571
450	5155	560
451	5167	548
452	5181	537
453	5191	526
454	5203	514
455	5213	503
456	5225	491
457	5238	480
458	5252	469
459	5263	457
460	5274	446
461	5285	434
462	5296	423
463	5310	412
464	5325	400
465	5336	389
466	5347	377
467	5362	366
468	5373	355
469	5383	343
470	5393	332
471	5403	320
472	5415	309
473	5426	297
474	5439	286
475	5450	274
476	5460	263
477	5471	251
478	5483	240
479	5493	228
480	5501	217
481	5511	205
482	5522	194
483	5533	182
484	5543	171
485	5552	159
486	5561	148
487	5572	137
488	5580	125
489	5589	114
490	5597	102
491	5609	91
492	5618	79
493	5625	68
494	5632	56
495	5637	45
496	5643	34
497	5648	22
498	5653	11
499	5658	0
