iter	RMSE
292	0.3751283141
293	0.3747054098
294	0.3743017133
295	0.3740620719
296	0.3734625252
297	0.3731119726
298	0.3726963523
299	0.37225600300300	0.371927056
301	0.3715752067
302	0.3712570953
303	0.3707810237
304	0.37034026305305	0.3698105581
306	0.3695630664
307	0.369318193
308	0.3689086369
309	0.3683891358
310	0.3679044521
311	0.3675979993
312	0.3669609705
313	0.3666775863
314	0.3662445128
315	0.3658387637
316	0.3653193631
317	0.364896062
318	0.3644013944
319	0.3640250026
320	0.3636955352
321	0.3633479452
322	0.3630160162
323	0.362684826
324	0.36209644325325	0.3616961639
326	0.3613697699
327	0.361032601
328	0.3605097032
329	0.3602159958
330	0.3597169755
331	0.359432029
332	0.3584032469
333	0.3577133409
334	0.3571001971
335	0.3566032409
336	0.3561566772
337	0.3558126004
338	0.3554628082
339	0.3551070464
340	0.3547828479
341	0.3543816768
342	0.3538889774
343	0.353413033
344	0.3529302154
345	0.3526297979
346	0.3521262347	347	0.3516703348	348	0.3509213349	349	0.3504840350	350	0.3501024351	351	0.3497194352352	0.34946013353353	0.34904275354354	0.34853513355355	0.3483177255
356	0.348011547
357	0.3476492982
358	0.3473657051
359	0.3472297218
360	0.346985483
361	0.3467652748
362	0.3463534775
363	0.3458865212
364	0.345541247
365	0.3452904914
366	0.3447730766
367	0.3445128656
368	0.3441309995
369	0.3437558849
370	0.3433206081
371	0.3431557546
372	0.3426731202
373	0.3422638797
374	0.3416971325
375	0.3412643059
376	0.3409016323
377	0.3404563102
378	0.3400986681
379	0.3398492114
380	0.339600563
381	0.3392046735
382	0.3389276018
383	0.3386380395
384	0.338315605
385	0.3378314859
386	0.337505766
387	0.3372180288
388	0.3368917805
389	0.3365476965
390	0.3360090627
391	0.3356769968
392	0.3352882324
393	0.3347204336
394	0.3344276585
395	0.3341489984
396	0.3337445881
397	0.3334095767
398	0.3329925904
399	0.3325381561
400	0.3320648981
401	0.3317052489
402	0.3313963723
403	0.3310523318
404	0.3307943166
405	0.330576971
406	0.3303056204
407	0.3299915892
408	0.3295495564
409	0.3293220373
410	0.3290874247
411	0.3286728559
412	0.3283912428
413	0.3281513551
414	0.3277198094
415	0.3274903877
416	0.327155072
417	0.3264688437
418	0.3261075893
419	0.3257885084
420	0.325181582
421	0.3247748646
422	0.3243142671
423	0.3240741221
424	0.3235538707
425	0.3230253565
426	0.3227408663
427	0.3223915183
428	0.3220617753
429	0.321849554
430	0.3215449055
431	0.3211071079
432	0.3208093426
433	0.3205047352
434	0.3201867161
435	0.3199182137
436	0.3196481429
437	0.3193367048
438	0.3189672562
439	0.3186966046
440	0.318305455
441	0.3179881097
442	0.317680992
443	0.3172679042
444	0.3169715801
445	0.3166129498
446	0.3163175768
447	0.3160477142
448	0.3156394089
449	0.3152207278
450	0.315075533
451	0.314859873
452	0.3145267556
453	0.3140269271
454	0.3137100553
455	0.3132375708
456	0.3128753581
457	0.3125046915
458	0.3121913196
459	0.31178513
460	0.3114087266
461	0.31110315
462	0.310635282
463	0.3102009869
464	0.3099923205
465	0.3096352495
466	0.3092560032
467	0.3090835783
468	0.3087619363
469	0.3084627499
470	0.3080902584
471	0.3078064916
472	0.3074144352
473	0.3068994253
474	0.3064622537
475	0.3061868569
476	0.305797227
477	0.3054768609
478	0.3051258563
479	0.3047138471
480	0.3043049185
481	0.3039995918
482	0.3037861662
483	0.303505868
484	0.3034283447
485	0.3027729273
486	0.3024929686
487	0.3021108758
488	0.3017831491
489	0.3013252351
490	0.3008581068
491	0.3006126951
492	0.300406864
493	0.3000201725
494	0.2998278682
495	0.299660791
496	0.2993940843
497	0.2989941498
498	0.298654624
499	0.2983626243
42803285
51825

