Feature,Importance
Distance_Travelled_km,29.286613226989072
Speed_kmh_squared,22.060292914190118
Speed_kmh,19.92960598361577
Battery_State_%,8.182437575465975
Humidity_%,6.425173506397553
Battery_Temperature_C,3.5622800516177637
Slope_%,1.979286320470072
Acceleration_ms2,0.9928981073429249
Wind_Speed_ms,0.96627053589106
Battery_Temperature_C_deviation,0.8362333624607269
Tire_Pressure_psi,0.6372966384193803
Wind_Speed_ms_squared,0.6316883239149346
Battery_Voltage_V,0.6066583580117455
Vehicle_ID,0.5929820853475438
Driving_Mode,0.5731295082747234
Vehicle_Weight_kg,0.567233699723577
Timestamp_encoded,0.5349454524449416
Temperature_C_deviation,0.4336918846190248
Road_Type,0.3823248315723735
Traffic_Condition,0.34024965873293966
Temperature_C,0.32831646780520246
Weather_Condition,0.15039150669260493
